State,Infected,Deaths,Population,ICU Beds,Income,GDP,Unemployment,Health Spending
Alaska,17057,84,734002,119,59687,73205,5.8,11064
Alabama,194892,2973,4908621,1533,42334,45219,2.7,7281
Arkansas,113641,1985,3038999,732,42566,42454,3.5,7408
Arizona,248139,5982,7378494,1559,43650,48055,4.5,6452
California,930628,17672,39937489,7338,62586,74205,3.9,7549
Colorado,109910,2105,5845526,1597,56846,63882,2.5,6804
Connecticut,73858,4627,3563077,674,74561,76342,3.8,9859
District of Columbia,17438,647,720687,314,47285,200277,5.2,11944
Delaware,25311,710,982895,186,51449,77253,3.9,10254
Florida,801371,17043,21992985,5604,49417,48318,2.8,8076
Georgia,362921,7999,10736059,2508,45745,55832,3.1,6587
Hawaii,15367,219,1412687,201,54565,64096,2.7,7299
Iowa,123372,1741,3179849,545,48823,59977,2.8,8200
Idaho,65088,630,1826156,314,43155,43430,2.7,6927
Illinois,429761,10093,12659682,3144,56933,67268,3.4,8262
Indiana,185185,4390,6745354,1861,46646,55172,3.1,8300
Kansas,89227,1046,2910357,767,50155,56334,3.1,7651
Kentucky,109670,1492,4499692,1392,41779,46898,4.2,8004
Louisiana,187995,5934,4645184,1289,45542,53589,5.2,7815
Massachusetts,160549,10023,6976597,1326,70073,82480,2.8,10559
Maryland,146995,4155,6083116,1134,62914,68573,3.3,8602
Maine,6799,148,1345790,256,48241,47969,3.2,9531
Michigan,204326,7716,10045029,2423,47582,53209,3.6,8055
Minnesota,153620,2484,5700671,1171,56374,64675,3.1,8871
Missouri,188186,3031,6169270,1888,46635,51699,3.5,8107
Mississippi,120865,3348,2989260,824,37994,37948,5.4,7646
Montana,34252,386,1086759,165,47120,46609,3.5,8221
North Carolina,278028,4390,10611862,2227,45834,54441,3.6,7264
North Dakota,46015,417,761723,238,54306,72597,2.2,9851
Nebraska,71666,654,1952570,440,52110,63942,2.9,8412
New Hampshire,11320,483,1371246,242,61405,63067,2.6,9589
New Jersey,240997,16357,8936574,1822,67609,69378,3.8,8859
New Mexico,47232,1026,2096640,340,41198,46954,4.8,7214
Nevada,102114,1784,3139658,900,48225,55269,3.6,6714
New York,511368,25838,19440469,3952,68667,85746,3.7,9778
Ohio,221909,5340,11747694,3314,48242,57492,4.1,8712
Oklahoma,125195,1354,3954821,1064,46128,50613,3.2,7627
Oregon,45978,692,4301089,659,49908,56956,3.3,8044
Pennsylvania,211996,8823,12820878,3169,55349,61594,4.7,9258
Rhode Island,34120,1210,1056161,279,54523,57852,3.4,9551
South Carolina,178917,3946,5210095,1225,42736,45280,2.5,7311
South Dakota,47850,438,903027,152,50141,58624,3.3,8933
Tennessee,264587,3379,6897576,2209,47179,53933,3.4,7372
Texas,909257,18097,29472295,6199,49161,61167,3.5,6998
Utah,117706,614,3282115,565,45340,55550,2.5,5982
Virginia,183418,3658,8626207,1654,56952,62563,2.6,7556
Vermont,2219,58,628061,94,53598,53523,2.4,10190
Washington,108315,2366,7797095,1265,60781,74182,3.8,7913
Wisconsin,244928,2113,5851754,1159,50756,57720,3.5,8702
West Virginia,25235,458,1778070,653,40578,43053,4.9,9462
Wyoming,14167,87,567025,102,60095,69900,3.7,8320
